scientific_name,photo_credit
Suthora nipalensis,Vishal Goswami
Chleuasicus atrosuperciliaris,Rajkumar Das
Staphida castaniceps,Siddhartha Vatsal
Yuhina nigrimenta,Ayaan S
Yuhina flavicollis,Arpit Bansal
Yuhina bakeri,Ronith Urs
Yuhina gularis,Sriram Reddy
Yuhina occipitalis,Arpit Bansal
Zosterops palpebrosus,Albin Jacob
Timalia pileata,Abhishek Das
Dumetia hyperythra,Albin Jacob
Dumetia atriceps,Aseem Kothiala
Mixornis gularis,Hari K Patibanda
Cyanoderma chrysaeum,Parmil Kumar
Cyanoderma pyrrhops,Vishal Goswami
Cyanoderma ruficeps,Abhishek Das
Cyanoderma ambiguum,Sriram Reddy
Spelaeornis caudatus,Harshil Mehta
Spelaeornis badeigularis,Bharat Tiwari
Spelaeornis troglodytoides,Samanvitha Rao
Spelaeornis chocolatinus,Tomal Gogoi 
Spelaeornis oatesi,Aseem Kothiala
Spelaeornis longicaudatus,Rofikul Islam
Pomatorhinus ferruginosus,Rofikul Islam
Pomatorhinus ochraceiceps,Novelkumar MS
Pomatorhinus superciliaris,Aseem Kothiala
Pomatorhinus ruficollis,Abhishek Das
Pomatorhinus schisticeps,Tomal Gogoi 
Pomatorhinus horsfieldii,Hari K Patibanda
Erythrogenys hypoleucos,Parthasarathi Chakrabarti
Erythrogenys erythrogenys,Rajkumar Das
Erythrogenys mcclellandi,Abhishek Das
Stachyris nigriceps,Parthasarathi Chakrabarti
Stachyris humei,Rofikul Islam
Stachyris roberti,Sri Teja
Stachyris oglei,Mohit Mehta
Graminicola bengalensis,Aseem Kothiala
Gampsorhynchus rufulus,Rofikul Islam
Schoeniparus cinereus,Siddhartha Vatsal
Schoeniparus castaneceps,Sri Teja
Schoeniparus rufogularis,Aseem Kothiala
Schoeniparus dubius,Novelkumar MS
Pellorneum ruficeps,Parmil Kumar
Pellorneum palustre,Tomal Gogoi 
Laticilla burnesii,Ronith Urs
Laticilla cinerascens,Abhishek Das
Malacocincla abbotti,Dipayan Chakraborty
Gypsophila brevicaudata,Rajkumar Das
Napothera epilepidota,Novelkumar MS
Napothera malacoptila,Samanvitha Rao
Alcippe poioicephala,Siddhant M
Alcippe nipalensis,Aseem Kothiala
Grammatoptila striata,Dr JISHNU R
Cutia nipalensis,Sri Teja
Trochalopteron subunicolor,Abhishek Das
Trochalopteron austeni,Rofikul Islam
Trochalopteron squamatum,Saswat Mishra
Trochalopteron lineatum,Dr Pankaj Chibber
Trochalopteron imbricatum,Subhadra Devi
Trochalopteron virgatum,Rajkumar Das
Trochalopteron variegatum,Sriram Reddy
Trochalopteron affine,Vipul Gupta
Trochalopteron erythrocephalum,Vishal Goswami
Trochalopteron chrysopterum,Vishal Goswami
Montecincla jerdoni,Yadu Prasad N
Montecincla cachinnans,Saswat Mishra
Montecincla fairbanki,Nirmal George
Montecincla meridionalis,Albin Jacob
