Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
105,Columbiformes,Columbidae,Barred Cuckoo-Dove Macropygia unchall,Barred Cuckoo-Dove,Macropygia unchall,Barred Cuckoo-Dove,Macropygia unchall,"(Wagler, 1827)",Bar-tailed Cuckoo Dove,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
106,Columbiformes,Columbidae,Andaman Cuckoo-Dove Macropygia rufipennis,Andaman Cuckoo-Dove,Macropygia rufipennis,Andaman Cuckoo-Dove,Macropygia rufipennis,"Blyth, 1846",,,,Least Concern,Schedule-II,Moderate,,,X,X,,,,,,,,,
107,Columbiformes,Columbidae,Namaqua Dove Oena capensis,Namaqua Dove,Oena capensis,Namaqua Dove,Oena capensis,"(Linnaeus, 1766)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
108,Columbiformes,Columbidae,Asian Emerald Dove Chalcophaps indica,Asian Emerald Dove,Chalcophaps indica,Asian Emerald Dove,Chalcophaps indica,"(Linnaeus, 1758)","Common Emerald Dove, Grey-capped Emerald Dove; [Emerald Dove]",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
109,Columbiformes,Columbidae,Nicobar Pigeon Caloenas nicobarica,Nicobar Pigeon,Caloenas nicobarica,Nicobar Pigeon,Caloenas nicobarica,"(Linnaeus, 1758)",,,,Near Threatened,Schedule-I,Moderate,Appendix I,,,,,,,,,,,,
110,Columbiformes,Columbidae,Orange-breasted Green-Pigeon Treron bicinctus,Orange-breasted Green-Pigeon,Treron bicinctus,Orange-breasted Green-Pigeon,Treron bicinctus,"(Jerdon, 1840)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
111,Columbiformes,Columbidae,Grey-fronted Green-Pigeon Treron affinis,Grey-fronted Green-Pigeon,Treron affinis,Gray-fronted Green-Pigeon,Treron affinis,"(Jerdon, 1840)",[Pompadour Green Pigeon],,,Least Concern,Schedule-II,Low,,,X,,,,,,,,,X,
112,Columbiformes,Columbidae,Andaman Green-Pigeon Treron chloropterus,Andaman Green-Pigeon,Treron chloropterus,Andaman Green-Pigeon,Treron chloropterus,"Blyth, 1846",,,,Near Threatened,Schedule-I,Moderate,,,,X,,,,,,,,,
113,Columbiformes,Columbidae,Ashy-headed Green-Pigeon Treron phayrei,Ashy-headed Green-Pigeon,Treron phayrei,Ashy-headed Green-Pigeon,Treron phayrei,"(Blyth, 1862)",,,,Near Threatened,Schedule-II,Moderate,,,,,,,,,,,,,
114,Columbiformes,Columbidae,Thick-billed Green-Pigeon Treron curvirostra,Thick-billed Green-Pigeon,Treron curvirostra,Thick-billed Green-Pigeon,Treron curvirostra,"(Gmelin, 1789)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
115,Columbiformes,Columbidae,Yellow-footed Green-Pigeon Treron phoenicopterus,Yellow-footed Green-Pigeon,Treron phoenicopterus,Yellow-footed Green-Pigeon,Treron phoenicopterus,"(Latham, 1790)",Yellow-legged Green Pigeon,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
116,Columbiformes,Columbidae,Pin-tailed Green-Pigeon Treron apicauda,Pin-tailed Green-Pigeon,Treron apicauda,Pin-tailed Green-Pigeon,Treron apicauda,"Blyth, 1846",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
117,Columbiformes,Columbidae,Wedge-tailed Green-Pigeon Treron sphenurus,Wedge-tailed Green-Pigeon,Treron sphenurus,Wedge-tailed Green-Pigeon,Treron sphenurus,"(Vigors, 1832)",Kokla,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
118,Columbiformes,Columbidae,Green Imperial-Pigeon Ducula aenea,Green Imperial-Pigeon,Ducula aenea,Green Imperial-Pigeon,Ducula aenea,"(Linnaeus, 1766)",,,,Near Threatened,Schedule-II,Low,,,,,,,,,,,,,
119,Columbiformes,Columbidae,Nicobar Imperial-Pigeon Ducula nicobarica,Nicobar Imperial-Pigeon,Ducula nicobarica,Nicobar Imperial-Pigeon,Ducula nicobarica,"(Pelzeln, 1865)",,,,Near Threatened,Schedule-II,Moderate,,,X,X,,,,,,,,,
120,Columbiformes,Columbidae,Malabar Imperial-Pigeon Ducula cuprea,Malabar Imperial-Pigeon,Ducula cuprea,Malabar Imperial-Pigeon,Ducula cuprea,"(Jerdon, 1840)",Nilgiri Imperial Pigeon, Jerdon's Maroon-backed Imperial Pigeon,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,X
121,Columbiformes,Columbidae,Mountain Imperial-Pigeon Ducula badia,Mountain Imperial-Pigeon,Ducula badia,Mountain Imperial-Pigeon,Ducula badia,"(Raffles, 1822)","Maroon-backed Imperial Pigeon D. b. cuprea & D. b. insignis, Grey-headed Imperial Pigeon D. b. griseicapilla",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
122,Columbiformes,Columbidae,Pied Imperial-Pigeon Ducula bicolor,Pied Imperial-Pigeon,Ducula bicolor,Pied Imperial-Pigeon,Ducula bicolor,"(Scopoli, 1786)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
123,Pterocliformes,Pteroclidae,Tibetan Sandgrouse Syrrhaptes tibetanus,Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetan Sandgrouse,Syrrhaptes tibetanus,"Gould, 1850",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
124,Pterocliformes,Pteroclidae,Pallas's Sandgrouse Syrrhaptes paradoxus,Pallas's Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,Syrrhaptes paradoxus,"(Pallas, 1773)",,,X,Least Concern,Schedule-II,,,,,,,,,,,,,,
125,Pterocliformes,Pteroclidae,Pin-tailed Sandgrouse Pterocles alchata,Pin-tailed Sandgrouse,Pterocles alchata,Pin-tailed Sandgrouse,Pterocles alchata,"(Linnaeus, 1766)",Large Pintail Sandgrouse,,X,Least Concern,Schedule-II,,,,,,,,,,,,,,
126,Pterocliformes,Pteroclidae,Chestnut-bellied Sandgrouse Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocles exustus,"Temminck, 1825","Common Indian Sandgrouse, Indian Sandgrouse",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
127,Pterocliformes,Pteroclidae,Spotted Sandgrouse Pterocles senegallus,Spotted Sandgrouse,Pterocles senegallus,Spotted Sandgrouse,Pterocles senegallus,"(Linnaeus, 1771)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
128,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse Pterocles orientalis,Black-bellied Sandgrouse,Pterocles orientalis,Black-bellied Sandgrouse,Pterocles orientalis,"(Linnaeus, 1758)",Imperial Sandgrouse,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
129,Pterocliformes,Pteroclidae,Painted Sandgrouse Pterocles indicus,Painted Sandgrouse,Pterocles indicus,Painted Sandgrouse,Pterocles indicus,"(Gmelin, 1789)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
130,Otidiformes,Otididae,Great Indian Bustard Ardeotis nigriceps,Great Indian Bustard,Ardeotis nigriceps,Great Indian Bustard,Ardeotis nigriceps,"(Vigors, 1831)",Indian Bustard,,,Critically Endangered,Schedule-I,High,Appendix I,Appendix I,,,,,,,,,,,
131,Otidiformes,Otididae,Asian Houbara Chlamydotis macqueenii,Asian Houbara,Chlamydotis macqueenii,Asian Houbara,Chlamydotis macqueenii,"(Gray, 1832)","Macqueen's Bustard, Houbara Bustard (with C. undulata sensu stricto EL)",,,Vulnerable,Schedule-I,High,Appendix I,Appendix II,,,,,,,,,,,
132,Otidiformes,Otididae,Bengal Florican Houbaropsis bengalensis,Bengal Florican,Houbaropsis bengalensis,Bengal Florican,Houbaropsis bengalensis,"(Müller, 1776)",,,,Critically Endangered,Schedule-I,High,Appendix I,Appendix I,,,,,,,,,,,
133,Otidiformes,Otididae,Lesser Florican Sypheotides indicus,Lesser Florican,Sypheotides indicus,Lesser Florican,Sypheotides indicus,"(Miller, 1782)","Leekh, Likh",,,Critically Endangered,Schedule-I,High,Appendix II,,,,,,,,,,,,
134,Otidiformes,Otididae,Little Bustard Tetrax tetrax,Little Bustard,Tetrax tetrax,Little Bustard,Tetrax tetrax,"(Linnaeus, 1758)",,,X,Near Threatened,Schedule-I,,Appendix II,Appendix I,,,,,,,,,,,
135,Cuculiformes,Cuculidae,Andaman Coucal Centropus andamanensis,Andaman Coucal,Centropus andamanensis,Andaman Coucal,Centropus andamanensis,"Beavan, 1867",,,,Least Concern,Schedule-II,Moderate,,,,X,,,,,,,,,
136,Cuculiformes,Cuculidae,Greater Coucal Centropus sinensis,Greater Coucal,Centropus sinensis,Greater Coucal,Centropus sinensis,"(Stephens, 1815)",Crow-Pheasant,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
137,Cuculiformes,Cuculidae,Lesser Coucal Centropus bengalensis,Lesser Coucal,Centropus bengalensis,Lesser Coucal,Centropus bengalensis,"(Gmelin, 1788)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
138,Cuculiformes,Cuculidae,Sirkeer Malkoha Taccocua leschenaultii,Sirkeer Malkoha,Taccocua leschenaultii,Sirkeer Malkoha,Taccocua leschenaultii,"Lesson, 1830",Sirkeer Cuckoo,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
139,Cuculiformes,Cuculidae,Blue-faced Malkoha Phaenicophaeus viridirostris,Blue-faced Malkoha,Phaenicophaeus viridirostris,Blue-faced Malkoha,Phaenicophaeus viridirostris,"(Jerdon, 1840)",Small Green-billed Malkoha,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
140,Cuculiformes,Cuculidae,Green-billed Malkoha Phaenicophaeus tristis,Green-billed Malkoha,Phaenicophaeus tristis,Green-billed Malkoha,Phaenicophaeus tristis,"(Lesson, 1830)",Large Green-billed Malkoha,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
141,Cuculiformes,Cuculidae,Chestnut-winged Cuckoo Clamator coromandus,Chestnut-winged Cuckoo,Clamator coromandus,Chestnut-winged Cuckoo,Clamator coromandus,"(Linnaeus, 1766)",Red-winged Crested Cuckoo,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
142,Cuculiformes,Cuculidae,Pied Cuckoo Clamator jacobinus,Pied Cuckoo,Clamator jacobinus,Pied Cuckoo,Clamator jacobinus,"(Boddaert, 1783)","Pied Crested Cuckoo, Jacobin Cuckoo",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
143,Cuculiformes,Cuculidae,Asian Koel Eudynamys scolopaceus,Asian Koel,Eudynamys scolopaceus,Asian Koel,Eudynamys scolopaceus,"(Linnaeus, 1758)",Common Koel, Western Koel, [Koel],,,Least Concern,Schedule-II,Low,,,,,,,,,,,
144,Cuculiformes,Cuculidae,Asian Emerald Cuckoo Chrysococcyx maculatus,Asian Emerald Cuckoo,Chrysococcyx maculatus,Asian Emerald Cuckoo,Chrysococcyx maculatus,"(Gmelin, 1788)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
145,Cuculiformes,Cuculidae,Violet Cuckoo Chrysococcyx xanthorhynchus,Violet Cuckoo,Chrysococcyx xanthorhynchus,Violet Cuckoo,Chrysococcyx xanthorhynchus,"(Horsfield, 1821)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
146,Cuculiformes,Cuculidae,Horsfield's Bronze-Cuckoo Chalcites basalis,Horsfield's Bronze-Cuckoo,Chalcites basalis,Horsfield's Bronze-Cuckoo,Chalcites basalis,"(Horsfield, 1821)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
147,Cuculiformes,Cuculidae,Banded Bay Cuckoo Cacomantis sonneratii,Banded Bay Cuckoo,Cacomantis sonneratii,Banded Bay Cuckoo,Cacomantis sonneratii,"(Latham, 1790)",Bay-banded Cuckoo,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
148,Cuculiformes,Cuculidae,Plaintive Cuckoo Cacomantis merulinus,Plaintive Cuckoo,Cacomantis merulinus,Plaintive Cuckoo,Cacomantis merulinus,"(Scopoli, 1786)",Rufous-bellied Plaintive Cuckoo,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
149,Cuculiformes,Cuculidae,Grey-bellied Cuckoo Cacomantis passerinus,Grey-bellied Cuckoo,Cacomantis passerinus,Gray-bellied Cuckoo,Cacomantis passerinus,"(Vahl, 1797)",Indian Plaintive Cuckoo,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
150,Cuculiformes,Cuculidae,Fork-tailed Drongo-Cuckoo Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,"(Hodgson, 1839)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
151,Cuculiformes,Cuculidae,Square-tailed Drongo-Cuckoo Surniculus lugubris,Square-tailed Drongo-Cuckoo,Surniculus lugubris,Square-tailed Drongo-Cuckoo,Surniculus lugubris,"(Horsfield, 1821)",Drongo Cuckoo (with S. dicruroides & S. velutinus EL),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
152,Cuculiformes,Cuculidae,Large Hawk-Cuckoo Hierococcyx sparverioides,Large Hawk-Cuckoo,Hierococcyx sparverioides,Large Hawk-Cuckoo,Hierococcyx sparverioides,"(Vigors, 1832)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
153,Cuculiformes,Cuculidae,Common Hawk-Cuckoo Hierococcyx varius,Common Hawk-Cuckoo,Hierococcyx varius,Common Hawk-Cuckoo,Hierococcyx varius,"(Vahl, 1797)",Brainfever Bird,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
154,Cuculiformes,Cuculidae,Hodgson's Hawk-Cuckoo Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,"(Blyth, 1843)",Whistling Hawk Cuckoo,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
155,Cuculiformes,Cuculidae,Lesser Cuckoo Cuculus poliocephalus,Lesser Cuckoo,Cuculus poliocephalus,Lesser Cuckoo,Cuculus poliocephalus,"Latham, 1790",Small Cuckoo,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
156,Cuculiformes,Cuculidae,Indian Cuckoo Cuculus micropterus,Indian Cuckoo,Cuculus micropterus,Indian Cuckoo,Cuculus micropterus,"Gould, 1838",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
157,Cuculiformes,Cuculidae,Himalayan Cuckoo Cuculus saturatus,Himalayan Cuckoo,Cuculus saturatus,Himalayan Cuckoo,Cuculus saturatus,"Blyth, 1843",Oriental Cuckoo (with C. optatus EL),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
158,Cuculiformes,Cuculidae,Common Cuckoo Cuculus canorus,Common Cuckoo,Cuculus canorus,Common Cuckoo,Cuculus canorus,"Linnaeus, 1758",Eurasian Cuckoo,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
159,Caprimulgiformes,Caprimulgidae,Great Eared-Nightjar Lyncornis macrotis,Great Eared-Nightjar,Lyncornis macrotis,Great Eared-Nightjar,Lyncornis macrotis,"(Vigors, 1831)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
160,Caprimulgiformes,Caprimulgidae,Jungle Nightjar Caprimulgus indicus,Jungle Nightjar,Caprimulgus indicus,Jungle Nightjar,Caprimulgus indicus,"Latham, 1790",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
161,Caprimulgiformes,Caprimulgidae,Grey Nightjar Caprimulgus jotaka,Grey Nightjar,Caprimulgus jotaka,Gray Nightjar,Caprimulgus jotaka,"Temminck & Schlegel, 1844",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
162,Caprimulgiformes,Caprimulgidae,European Nightjar Caprimulgus europaeus,European Nightjar,Caprimulgus europaeus,Eurasian Nightjar,Caprimulgus europaeus,"Linnaeus, 1758",Eurasian Nightjar,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
163,Caprimulgiformes,Caprimulgidae,Sykes's Nightjar Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgus mahrattensis,"Sykes, 1832",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
164,Caprimulgiformes,Caprimulgidae,Large-tailed Nightjar Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgus macrurus,"Horsfield, 1821",Long-tailed Nightjar (with C. atripennis & C. andamanicus),,,Least Concern,Schedule-II,,,,,,,,,,,,,,
165,Caprimulgiformes,Caprimulgidae,Andaman Nightjar Caprimulgus andamanicus,Andaman Nightjar,Caprimulgus andamanicus,Andaman Nightjar,Caprimulgus andamanicus,"Hume, 1873",,,,Least Concern,Schedule-II,,,,X,X,,,,,,,,,
166,Caprimulgiformes,Caprimulgidae,Jerdon's Nightjar Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgus atripennis,"Jerdon, 1845",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
167,Caprimulgiformes,Caprimulgidae,Indian Nightjar Caprimulgus asiaticus,Indian Nightjar,Caprimulgus asiaticus,Indian Nightjar,Caprimulgus asiaticus,"Latham, 1790","Common Indian Nightjar, Indian Little Nightjar",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
168,Caprimulgiformes,Caprimulgidae,Savanna Nightjar Caprimulgus affinis,Savanna Nightjar,Caprimulgus affinis,Savanna Nightjar,Caprimulgus affinis,"Horsfield, 1821","Franklin's Nightjar, Allied Nightjar",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
169,Podargiformes,Podargidae,Sri Lanka Frogmouth Batrachostomus moniliger,Sri Lanka Frogmouth,Batrachostomus moniliger,Sri Lanka Frogmouth,Batrachostomus moniliger,"Blyth, 1849",,,,Least Concern,Schedule-I,,,,,,,,,,,,,,
170,Podargiformes,Podargidae,Hodgson's Frogmouth Batrachostomus hodgsoni,Hodgson's Frogmouth,Batrachostomus hodgsoni,Hodgson's Frogmouth,Batrachostomus hodgsoni,"(Gray, 1859)",,,,Least Concern,Schedule-I,,,,,,,,,,,,,,
171,Apodiformes,Apodidae,White-rumped Spinetail Zoonavena sylvatica,White-rumped Spinetail,Zoonavena sylvatica,White-rumped Spinetail,Zoonavena sylvatica,"(Tickell, 1846)","White-rumped Needletail, White-rumped Spinetail Swift",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
172,Apodiformes,Apodidae,White-throated Needletail Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,"(Latham, 1801)",White-throated Spinetail Swift,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
173,Apodiformes,Apodidae,Silver-backed Needletail Hirundapus cochinchinensis,Silver-backed Needletail,Hirundapus cochinchinensis,Silver-backed Needletail,Hirundapus cochinchinensis,"(Oustalet, 1878)",Cochinchina Spinetail Swift,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
174,Apodiformes,Apodidae,Brown-backed Needletail Hirundapus giganteus,Brown-backed Needletail,Hirundapus giganteus,Brown-backed Needletail,Hirundapus giganteus,"(Temminck, 1825)","Brown-throated Needletail, Large Brown-throated Spinetail Swift",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
175,Apodiformes,Apodidae,Plume-toed Swiftlet Collocalia affinis,Plume-toed Swiftlet,Collocalia affinis,Plume-toed Swiftlet,Collocalia affinis,"Beavan, 1867","[White-bellied Swiftlet, Glossy Swiftlet]",,,Not recognized,Schedule-II,,,,,,,,,,,,,,
176,Apodiformes,Apodidae,Indian Swiftlet Aerodramus unicolor,Indian Swiftlet,Aerodramus unicolor,Indian Swiftlet,Aerodramus unicolor,"(Jerdon, 1840)",Indian Edible-nest Swiftlet,,,Least Concern,Schedule-I,Low,,,,,,,,,,,,,
177,Apodiformes,Apodidae,Himalayan Swiftlet Aerodramus brevirostris,Himalayan Swiftlet,Aerodramus brevirostris,Himalayan Swiftlet,Aerodramus brevirostris,"(Horsfield, 1840)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
178,Apodiformes,Apodidae,Edible-nest Swiftlet Aerodramus fuciphagus,Edible-nest Swiftlet,Aerodramus fuciphagus,White-nest Swiftlet,Aerodramus fuciphagus,"(Thunberg, 1812)",Andaman Grey-rumped Swiftlet A. f. inexpectatus, White-nest Swiftlet,,,Least Concern,Not scheduled,,,,,,,,,,,,,
179,Apodiformes,Apodidae,Alpine Swift Tachymarptis melba,Alpine Swift,Tachymarptis melba,Alpine Swift,Tachymarptis melba,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
180,Apodiformes,Apodidae,Common Swift Apus apus,Common Swift,Apus apus,Common Swift,Apus apus,"(Linnaeus, 1758)",Swift,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
181,Apodiformes,Apodidae,Pacific Swift Apus pacificus,Pacific Swift,Apus pacificus,Pacific Swift,Apus pacificus,"(Latham, 1801)","[Fork-tailed Swift, Large White-rumped Swift]",X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
182,Apodiformes,Apodidae,Blyth's Swift Apus leuconyx,Blyth's Swift,Apus leuconyx,Blyth's Swift,Apus leuconyx,"(Blyth, 1845)",,,,Not recognized,Schedule-II,Moderate,,,,,,,,,,,,,
183,Apodiformes,Apodidae,Dark-rumped Swift Apus acuticauda,Dark-rumped Swift,Apus acuticauda,Dark-rumped Swift,Apus acuticauda,"(Jerdon, 1864)",Khasi Hills Swift,,,Near Threatened,Schedule-I,High,,,,,,,,,,,,,
184,Apodiformes,Apodidae,Little Swift Apus affinis,Little Swift,Apus affinis,Little Swift,Apus affinis,"(Gray, 1830)",Indian House Swift, House Swift (with A. nipalensis),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,
185,Apodiformes,Apodidae,House Swift Apus nipalensis,House Swift,Apus nipalensis,House Swift,Apus nipalensis,"(Hodgson, 1837)",Nepal House Swift,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
186,Apodiformes,Apodidae,Asian Palm Swift Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,"(Gray, 1829)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
187,Apodiformes,Hemiprocnidae,Crested Treeswift Hemiprocne coronata,Crested Treeswift,Hemiprocne coronata,Crested Treeswift,Hemiprocne coronata,"(Tickell, 1833)",,,,Least Concern,Schedule-I,Moderate,,,,,,,,,,,,,
188,Gruiformes,Rallidae,Water Rail Rallus aquaticus,Water Rail,Rallus aquaticus,Water Rail,Rallus aquaticus,"Linnaeus, 1758",Western Water Rail,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
189,Gruiformes,Rallidae,Brown-cheeked Rail Rallus indicus,Brown-cheeked Rail,Rallus indicus,Brown-cheeked Rail,Rallus indicus,"Blyth, 1849",Eastern Water Rail,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
190,Gruiformes,Rallidae,Corn Crake Crex crex,Corn Crake,Crex crex,Corn Crake,Crex crex,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
191,Gruiformes,Rallidae,Slaty-breasted Rail Lewinia striata,Slaty-breasted Rail,Lewinia striata,Slaty-breasted Rail,Lewinia striata,"(Linnaeus, 1766)",Blue-breasted Banded Rail,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
192,Gruiformes,Rallidae,Spotted Crake Porzana porzana,Spotted Crake,Porzana porzana,Spotted Crake,Porzana porzana,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
193,Gruiformes,Rallidae,Common Moorhen Gallinula chloropus,Common Moorhen,Gallinula chloropus,Eurasian Moorhen,Gallinula chloropus,"(Linnaeus, 1758)","Eurasian Moorhen, Indian Moorhen",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
194,Gruiformes,Rallidae,Eurasian Coot Fulica atra,Eurasian Coot,Fulica atra,Eurasian Coot,Fulica atra,"Linnaeus, 1758",Common Coot,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
195,Gruiformes,Rallidae,Grey-headed Swamphen Porphyrio poliocephalus,Grey-headed Swamphen,Porphyrio poliocephalus,Gray-headed Swamphen,Porphyrio poliocephalus,"(Latham, 1801)","[Purple Moorhen, Purple Swamphen]",,,Not recognized,Schedule-II,Low,,,,,,,,,,,,,
196,Gruiformes,Rallidae,White-browed Crake Poliolimnas cinereus,White-browed Crake,Poliolimnas cinereus,White-browed Crake,Poliolimnas cinereus,"(Vieillot, 1819)",,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
197,Gruiformes,Rallidae,Watercock Gallicrex cinerea,Watercock,Gallicrex cinerea,Watercock,Gallicrex cinerea,"(Gmelin, 1789)",Kora,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
198,Gruiformes,Rallidae,White-breasted Waterhen Amaurornis phoenicurus,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Amaurornis phoenicurus,"(Pennant, 1769)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
199,Gruiformes,Rallidae,Andaman Crake Rallina canningi,Andaman Crake,Rallina canningi,Andaman Crake,Rallina canningi,"(Blyth, 1863)",Andaman Banded Crake,,,Least Concern,Schedule-II,Moderate,,,X,X,,,,,,,,,
200,Gruiformes,Rallidae,Red-legged Crake Rallina fasciata,Red-legged Crake,Rallina fasciata,Red-legged Crake,Rallina fasciata,"(Raffles, 1822)",,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
201,Gruiformes,Rallidae,Slaty-legged Crake Rallina eurizonoides,Slaty-legged Crake,Rallina eurizonoides,Slaty-legged Crake,Rallina eurizonoides,"(de Lafresnaye, 1845)",Slaty-legged Banded Crake,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
